,A,B,C,D
2000-01-01,-0.9604783294474156,0.8803189250811637,0.41722807281494356,-1.048801067484518
2000-01-02,-1.860071398373662,2.179584972055694,-0.7484806708327212,-1.3116896650301277
2000-01-03,-2.9932129057369545,3.5161213783664858,0.45785242200654297,-1.7345832392032916
2000-01-04,-1.0442767492262057,3.5178330895452827,1.9126591201280903,-2.115922840791247
2000-01-05,-0.49702379469636926,3.753479001864212,3.162222826784517,-2.101730222630916
2000-01-06,-2.2623195809458276,2.9488161852946337,1.43051709397692,-2.0617768262571605
2000-01-07,-3.237754835211903,3.489447644610321,0.3786623338239088,-0.052013727066432036
2000-01-08,-2.814518167540177,2.9589024858637467,1.3142337776170874,0.02713053918067264
2000-01-09,-4.242294843887931,2.127046602839819,-0.6547193907203006,0.2870076272663694
2000-01-10,-4.2793636287891195,1.219460839602573,-2.345043677644333,1.2826046074965078
2000-01-11,-4.6138157433748805,1.8779919453314986,-2.5071041761651442,1.37157127747896
2000-01-12,-6.437911322845647,1.6048561577493643,-3.5580117971916287,2.4343731716088426
2000-01-13,-6.222798472749773,0.7851436429492707,-2.487496731511966,2.7454140361108417
2000-01-14,-7.494464254851796,0.8289114348364927,-2.2351812422330286,2.9420548084357265
2000-01-15,-7.080253615279183,0.7844233583434936,-1.744106426934854,3.639759392553562
2000-01-16,-6.392790472260673,1.4026610487793363,-1.5547274067346235,3.6035115832320765
2000-01-17,-7.827491073185641,1.0951142051180722,-0.9729908975071757,3.4641838435968313
2000-01-18,-8.075617729059767,3.0749315202528704,-1.430163281901283,2.13940488332804
2000-01-19,-7.236964768787361,2.88694115775408,-1.2640780377304865,0.2410335131291963
2000-01-20,-8.12326729873418,1.6625501820761086,-0.4857256448184625,0.4581946310621785
2000-01-21,-8.576270387294013,0.4748534449890993,-0.9652852250217862,2.2026596560219636
2000-01-22,-9.374932407016958,1.1144919970328497,-0.5202042962629423,2.1419187673493267
2000-01-23,-9.983705717272446,2.8138305906833923,-0.6195049891112454,0.4860048868580975
2000-01-24,-10.503245482972106,3.085943132509055,-1.8052791349149733,0.7446900472478706
